site_id,seeds_present,max_width,max_depth,notch_depth,petiole_length
12982,no,96,58,12,54
12982,no,105,70,8,80
12982,no,91,54,7,37
12982,no,101,60,23,49
12982,no,72,73,29,38
12982,no,78,85,32,20
12982,no,87,70,32,45
12982,no,92,52,11,35
12982,no,60,65,22,36
12982,no,98,70,14,100
12982,no,100,72,15,77
12982,no,107,65,16,52
12982,no,59,63,29,22
12982,no,65,41,0,26
12982,no,74,64,8,62
12982,no,85,65,6,78
12982,no,106,68,0,76
12982,no,68,77,47,24
12982,no,77,50,0,29
12982,no,96,58,10,35
12982,no,80,55,0,36
12982,no,103,75,14,83
12982,no,83,63,8,41
12982,no,76,50,8,32
12982,no,78,55,3,34
12982,no,48,45,8,22
12982,no,68,44,0,25
12982,no,62,38,0,23
12982,no,92,55,9,30
12982,no,65,39,0,25
12982,no,55,55,14,33
12982,no,42,47,12,23
12982,no,52,32,0,16